#!R id, size(byte), deadline, <virtual link id>, type [ST], priority, [period | rate] (us)
Flow100, 562, 1000, vl0, TT, 1000, 0.0
Flow101, 1160, 1000, vl1, TT, 1000, 0.0
Flow102, 802, 10000, vl2, TT, 10000, 0.0
Flow103, 1174, 2000, vl3, TT, 2000, 0.0
Flow104, 1449, 5000, vl4, TT, 5000, 0.0
Flow105, 950, 2000, vl5, TT, 2000, 0.0
Flow106, 870, 10000, vl6, TT, 10000, 0.0
Flow107, 286, 1000, vl7, TT, 1000, 0.0
Flow108, 503, 10000, vl8, TT, 10000, 0.0
Flow109, 1268, 10000, vl9, TT, 10000, 0.0
Flow110, 826, 5000, vl10, TT, 5000, 0.0
Flow111, 698, 2000, vl11, TT, 2000, 0.0
Flow112, 98, 1000, vl12, TT, 1000, 0.0
Flow113, 300, 1000, vl13, TT, 1000, 0.0
Flow114, 593, 5000, vl14, TT, 5000, 0.0
Flow0, 367, 10000, vl0, SP0, 10000, 0.0
Flow1, 103, 5000, vl1, SP0, 5000, 0.0
Flow2, 251, 10000, vl2, SP0, 10000, 0.0
Flow3, 100, 2000, vl3, SP0, 2000, 0.0
Flow4, 1295, 10000, vl4, SP0, 10000, 0.0
Flow5, 348, 5000, vl5, SP0, 5000, 0.0
Flow6, 393, 10000, vl6, SP0, 10000, 0.0
Flow7, 313, 5000, vl7, SP0, 5000, 0.0
Flow8, 396, 5000, vl8, SP0, 5000, 0.0
Flow9, 199, 10000, vl9, SP0, 10000, 0.0
Flow10, 77, 1000, vl10, SP0, 1000, 0.0
Flow11, 411, 5000, vl11, SP0, 5000, 0.0
Flow12, 691, 2000, vl12, SP0, 2000, 0.0
Flow13, 333, 10000, vl13, SP0, 10000, 0.0
Flow14, 384, 5000, vl14, SP0, 5000, 0.0
Flow15, 367, 10000, vl0, SP0, 10000, 0.0
Flow16, 503, 2000, vl1, SP0, 2000, 0.0
Flow17, 151, 10000, vl2, SP0, 10000, 0.0
Flow18, 400, 2000, vl3, SP0, 2000, 0.0
Flow19, 129, 2000, vl4, SP0, 2000, 0.0
Flow20, 348, 5000, vl5, SP0, 5000, 0.0
Flow21, 393, 2000, vl6, SP0, 2000, 0.0
Flow22, 113, 10000, vl7, SP0, 10000, 0.0
Flow23, 196, 10000, vl8, SP0, 10000, 0.0
Flow24, 199, 10000, vl9, SP0, 10000, 0.0
Flow25, 517, 10000, vl10, SP0, 10000, 0.0
Flow26, 91, 2000, vl11, SP0, 2000, 0.0
Flow27, 291, 10000, vl12, SP0, 10000, 0.0
Flow28, 333, 2000, vl13, SP0, 2000, 0.0
Flow29, 134, 10000, vl14, SP0, 10000, 0.0
